source,target,relationship
Cyprinus carpio,Michigan,locatedIn
Cyprinus carpio,New York,locatedIn
Cyprinus carpio,Maryland,locatedIn
Cyprinus carpio,Pennsylvania,locatedIn
Cyprinus carpio,Indiana,locatedIn
Cyprinus carpio,Ohio,locatedIn
Cyprinus carpio,,locatedIn
Cyprinus carpio,California,locatedIn
Cyprinus carpio,Virginia,locatedIn
Cyprinus carpio,Tennessee,locatedIn
Cyprinus carpio,Texas,locatedIn
Cyprinus carpio,Arkansas,locatedIn
Cyprinus carpio,Louisiana,locatedIn
Cyprinus carpio,New Jersey,locatedIn
Cyprinus carpio,Georgia,locatedIn
Cyprinus carpio,Kentucky,locatedIn
Cyprinus carpio,Idaho,locatedIn
Cyprinus carpio,Kansas,locatedIn
Cyprinus carpio,Alabama,locatedIn
Cyprinus carpio,North Dakota,locatedIn
Cyprinus carpio,South Dakota,locatedIn
Cyprinus carpio,Oregon,locatedIn
Cyprinus carpio,West Virginia,locatedIn
Cyprinus carpio,New Mexico,locatedIn
Cyprinus carpio,Montana,locatedIn
Cyprinus carpio,Mississippi,locatedIn
Cyprinus carpio,North Carolina,locatedIn
Cyprinus carpio,New Hampshire,locatedIn
Cyprinus carpio,Nevada,locatedIn
Cyprinus carpio,Arizona,locatedIn
Cyprinus carpio,Utah,locatedIn
Cyprinus carpio,District of Columbia,locatedIn
Cyprinus carpio,Connecticut,locatedIn
Cyprinus carpio,Massachusetts,locatedIn
Cyprinus carpio,Hawaii,locatedIn
Cyprinus carpio,Rhode Island,locatedIn
Cyprinus carpio,Vermont,locatedIn
Cyprogenia stegaria,Tennessee,locatedIn
Cyprogenia stegaria,Kentucky,locatedIn
Cypseloides niger,,locatedIn
Cypseloides niger,California,locatedIn
Cypseloides niger,Arizona,locatedIn
Cypseloides niger,Colorado,locatedIn
Cypseloides niger,Alaska,locatedIn
Danaus plexippus,New Mexico,locatedIn
Deltistes luxatus,Oregon,locatedIn
Deltistes luxatus,California,locatedIn
Dendrogyra cylindrus,,locatedIn
Dendrolagus matschiei,New Mexico,locatedIn
Dendrolagus matschiei,Ohio,locatedIn
Dendrolagus matschiei,Washington,locatedIn
Dermochelys coriacea,,locatedIn
Dermochelys coriacea,North Carolina,locatedIn
Dermochelys coriacea,California,locatedIn
Dermochelys coriacea,Florida,locatedIn
Dermochelys coriacea,Georgia,locatedIn
Dicerorhinus sumatrensis,Ohio,locatedIn
Diceros bicornis,Pennsylvania,locatedIn
Diceros bicornis,Texas,locatedIn
Diceros bicornis,Illinois,locatedIn
Diceros bicornis,Ohio,locatedIn
Diceros bicornis,Michigan,locatedIn
Diceros bicornis,Colorado,locatedIn
Diceros bicornis,Wisconsin,locatedIn
Diceros bicornis,Missouri,locatedIn
Dichocoenia stokesii,,locatedIn
Dionda diaboli,Texas,locatedIn
Dipodomys ingens,California,locatedIn
Dipodomys nitratoides,California,locatedIn
Dipodomys stephensi,California,locatedIn
Dorymyrmex insanus,Colorado,locatedIn
Dorymyrmex insanus,New Mexico,locatedIn
Dorymyrmex insanus,Arizona,locatedIn
Dorymyrmex insanus,Texas,locatedIn
Dorymyrmex insanus,Utah,locatedIn
Dorymyrmex insanus,North Dakota,locatedIn
Dorymyrmex insanus,Nebraska,locatedIn
Dromus dromas,Tennessee,locatedIn
Elaphrus viridis,California,locatedIn
Elassoma alabamae,Alabama,locatedIn
Elassoma boehlkei,North Carolina,locatedIn
Elassoma okatie,South Carolina,locatedIn
Elassoma okatie,Georgia,locatedIn
Elephas maximus,New Mexico,locatedIn
Elephas maximus,Texas,locatedIn
Elephas maximus,Ohio,locatedIn
Elephas maximus,California,locatedIn
Elgaria panamintina,California,locatedIn
Elimia ampla,Alabama,locatedIn
Elimia annettae,Alabama,locatedIn
Elimia bellacrenata,Alabama,locatedIn
Elimia bellula,Alabama,locatedIn
Elimia hydeii,Alabama,locatedIn
Elimia olivula,Alabama,locatedIn
Ellipsoptera puritana,Maryland,locatedIn
Ellipsoptera puritana,Connecticut,locatedIn
Elliptio roanokensis,Georgia,locatedIn
Elliptio roanokensis,North Carolina,locatedIn
Elliptio roanokensis,South Carolina,locatedIn
Elliptoideus sloatianus,Florida,locatedIn
Emberiza rustica,,locatedIn
Emberiza rustica,Alaska,locatedIn
Emys blandingii,Nebraska,locatedIn
Emys blandingii,Michigan,locatedIn
Enhydra lutris,,locatedIn
Enhydra lutris,Alaska,locatedIn
Enhydra lutris,Washington,locatedIn
Enhydra lutris,California,locatedIn
Entosphenus minimus,Oregon,locatedIn
Epinephelus itajara,Texas,locatedIn
Epinephelus itajara,,locatedIn
Epinephelus morio,Alabama,locatedIn
Epinephelus morio,,locatedIn
Epinephelus striatus,,locatedIn
Epioblasma brevidens,Tennessee,locatedIn
Epioblasma brevidens,Alabama,locatedIn
Epioblasma brevidens,Kentucky,locatedIn
Epioblasma brevidens,Virginia,locatedIn
Epioblasma capsaeformis,Tennessee,locatedIn
Epioblasma penita,Alabama,locatedIn
Epioblasma triquetra,Tennessee,locatedIn
Epioblasma triquetra,Pennsylvania,locatedIn
Epioblasma triquetra,Kentucky,locatedIn
Epioblasma triquetra,Alabama,locatedIn
Epioblasma walkeri,Tennessee,locatedIn
Equus hartmannae,New Mexico,locatedIn
Eremarionta immaculata,California,locatedIn
Eremichthys acros,Nevada,locatedIn
Etheostoma acuticeps,Tennessee,locatedIn
Etheostoma acuticeps,Virginia,locatedIn
Etheostoma akatulo,Tennessee,locatedIn
Etheostoma bellator,Alabama,locatedIn
Etheostoma boschungi,Alabama,locatedIn
